key,ref_events,ref_events_raw,pred_events,onset_matches,drum_matches,onset_precision,onset_recall,onset_f1,drum_precision,drum_recall,drum_f1,class_accuracy_on_matched_onsets,onset_mae_ms,missed,extra,wav,labels,kick->kick,kick->snare,kick->hihat,snare->kick,snare->snare,snare->hihat,hihat->kick,hihat->snare,hihat->hihat
P16_Improvisation_Fixed,45,45,42,40,29,0.9523809523809523,0.8888888888888888,0.9195402298850575,0.6904761904761905,0.6444444444444445,0.6666666666666666,0.725,26.358276618275646,16,13,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_16\P16_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_16\P16_Improvisation_Fixed.csv,7,0,0,9,2,0,1,1,20
P16_Improvisation_Personal,77,77,56,56,29,1.0,0.7272727272727273,0.8421052631578948,0.5178571428571429,0.37662337662337664,0.4360902255639098,0.5178571428571429,17.110463145894084,48,27,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_16\P16_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_16\P16_Improvisation_Personal.csv,17,0,0,17,0,0,4,6,12
P17_Improvisation_Fixed,31,31,26,26,16,1.0,0.8387096774193549,0.9122807017543859,0.6153846153846154,0.5161290322580645,0.5614035087719298,0.6153846153846154,21.294261259986065,15,10,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_17\P17_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_17\P17_Improvisation_Fixed.csv,13,0,0,7,0,0,1,2,3
P17_Improvisation_Personal,30,30,29,24,18,0.8275862068965517,0.8,0.8135593220338982,0.6206896551724138,0.6,0.6101694915254238,0.75,27.350717948412697,12,11,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_17\P17_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_17\P17_Improvisation_Personal.csv,15,1,2,0,0,1,1,1,3
P18_Improvisation_Fixed,125,125,129,125,52,0.9689922480620154,1.0,0.9842519685039369,0.40310077519379844,0.416,0.4094488188976378,0.416,23.71337870701179,73,77,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_18\P18_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_18\P18_Improvisation_Fixed.csv,34,0,0,21,1,0,46,6,17
P18_Improvisation_Personal,128,128,129,121,59,0.937984496124031,0.9453125,0.9416342412451363,0.4573643410852713,0.4609375,0.45914396887159536,0.48760330578512395,23.88148644506311,69,70,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_18\P18_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_18\P18_Improvisation_Personal.csv,51,0,0,19,4,9,34,0,4
P19_Improvisation_Fixed,48,48,47,43,32,0.9148936170212766,0.8958333333333334,0.9052631578947369,0.6808510638297872,0.6666666666666666,0.6736842105263158,0.7441860465116279,27.944945363128095,16,15,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_19\P19_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_19\P19_Improvisation_Fixed.csv,18,0,0,10,0,0,0,1,14
P19_Improvisation_Personal,48,48,34,29,14,0.8529411764705882,0.6041666666666666,0.7073170731707317,0.4117647058823529,0.2916666666666667,0.34146341463414637,0.4827586206896552,33.07295339651153,34,20,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_19\P19_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_19\P19_Improvisation_Personal.csv,5,0,0,3,1,11,1,0,8
P1_Improvisation_Fixed,22,22,17,14,4,0.8235294117647058,0.6363636363636364,0.717948717948718,0.23529411764705882,0.18181818181818182,0.20512820512820512,0.2857142857142857,26.342727518626962,18,13,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_1\P1_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_1\P1_Improvisation_Fixed.csv,3,0,0,6,0,0,1,3,1
P1_Improvisation_Personal,18,18,16,15,9,0.9375,0.8333333333333334,0.8823529411764706,0.5625,0.5,0.5294117647058824,0.6,25.08238846605881,9,7,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_1\P1_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_1\P1_Improvisation_Personal.csv,6,0,0,1,0,0,4,1,3
