key,ref_events,ref_events_raw,pred_events,onset_matches,drum_matches,onset_precision,onset_recall,onset_f1,drum_precision,drum_recall,drum_f1,class_accuracy_on_matched_onsets,onset_mae_ms,missed,extra,wav,labels,kick->kick,kick->snare,kick->hihat,snare->kick,snare->snare,snare->hihat,hihat->kick,hihat->snare,hihat->hihat
WaveDrum02_33#KD,31,31,31,31,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.816692268305141,0,0,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_33#KD.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_33#KD.svl,31,0,0,0,0,0,0,0,0
WaveDrum02_33#SD,11,11,11,11,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.566687280972856,0,0,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_33#SD.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_33#SD.svl,0,0,0,0,11,0,0,0,0
WaveDrum02_34#HH,36,36,36,36,36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.702317964222633,0,0,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_34#HH.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_34#HH.svl,0,0,0,0,0,0,0,0,36
WaveDrum02_34#KD,31,31,31,31,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.398068904981344,0,0,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_34#KD.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_34#KD.svl,31,0,0,0,0,0,0,0,0
WaveDrum02_34#SD,17,17,18,17,17,0.9444444444444444,1.0,0.9714285714285714,0.9444444444444444,1.0,0.9714285714285714,1.0,13.25596905428857,0,1,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_34#SD.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_34#SD.svl,0,0,0,0,17,0,0,0,0
WaveDrum02_35#HH,36,36,36,36,36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.714663643234998,0,0,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_35#HH.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_35#HH.svl,0,0,0,0,0,0,0,0,36
WaveDrum02_35#KD,31,31,31,31,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.892034233047955,0,0,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_35#KD.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_35#KD.svl,31,0,0,0,0,0,0,0,0
WaveDrum02_35#SD,17,17,18,17,14,0.9444444444444444,1.0,0.9714285714285714,0.7777777777777778,0.8235294117647058,0.7999999999999999,0.8235294117647058,15.674269707883209,3,4,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_35#SD.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_35#SD.svl,0,0,0,3,14,0,0,0,0
WaveDrum02_36#HH,35,35,36,35,35,0.9722222222222222,1.0,0.9859154929577464,0.9722222222222222,1.0,0.9859154929577464,1.0,18.041464204729444,0,1,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_36#HH.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_36#HH.svl,0,0,0,0,0,0,0,0,35
WaveDrum02_36#KD,31,31,31,31,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.217760222368566,0,0,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_36#KD.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_36#KD.svl,31,0,0,0,0,0,0,0,0
WaveDrum02_36#SD,18,18,18,18,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.149659863945626,0,0,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_36#SD.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_36#SD.svl,0,0,0,0,18,0,0,0,0
WaveDrum02_37#HH,23,23,24,23,23,0.9583333333333334,1.0,0.9787234042553191,0.9583333333333334,1.0,0.9787234042553191,1.0,13.42305037957221,0,1,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_37#HH.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_37#HH.svl,0,0,0,0,0,0,0,0,23
WaveDrum02_37#KD,12,12,17,12,12,0.7058823529411765,1.0,0.8275862068965517,0.7058823529411765,1.0,0.8275862068965517,1.0,10.00000000000024,0,5,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_37#KD.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_37#KD.svl,12,0,0,0,0,0,0,0,0
WaveDrum02_37#SD,12,12,12,12,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.968631897203223,0,0,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_37#SD.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_37#SD.svl,0,0,0,0,12,0,0,0,0
WaveDrum02_38#HH,23,23,24,23,23,0.9583333333333334,1.0,0.9787234042553191,0.9583333333333334,1.0,0.9787234042553191,1.0,12.229123533471308,0,1,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_38#HH.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_38#HH.svl,0,0,0,0,0,0,0,0,23
WaveDrum02_38#KD,12,12,12,12,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.236205593348537,0,0,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_38#KD.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_38#KD.svl,12,0,0,0,0,0,0,0,0
WaveDrum02_38#SD,12,12,12,12,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.310279667422492,0,0,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_38#SD.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_38#SD.svl,0,0,0,0,12,0,0,0,0
WaveDrum02_39#HH,23,23,21,21,21,1.0,0.9130434782608695,0.9545454545454545,1.0,0.9130434782608695,0.9545454545454545,1.0,13.7501349746247,2,0,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_39#HH.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_39#HH.svl,0,0,0,0,0,0,0,0,21
WaveDrum02_39#KD,12,12,13,12,12,0.9230769230769231,1.0,0.9600000000000001,0.9230769230769231,1.0,0.9600000000000001,1.0,11.35865457294052,0,1,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_39#KD.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_39#KD.svl,12,0,0,0,0,0,0,0,0
