key,ref_notes,pred_notes,pitch_model_corrections,split_model_corrections,offset_model_corrections,cache_hit,matches,missed,extra,precision,recall,f1,note_accuracy,onset_matches,onset_missed,onset_extra,missed_onset,extra_onset,wrong_pitch,bad_offset,merged_notes,false_split,octave_error,onset_precision,onset_recall,onset_f1,onset_only_mae_ms,onset_pitch_acc,onset_pitch_mae_st,onset_offset_acc,onset_mae_ms,offset_mae_ms,duration_mae_ms,pitch_mae_st,global_shift_st,time_shift_ms,frame_pitch_acc,frame_voice_recall,frame_false_alarm,wav,midi,missed_preview,extra_preview,onset_missed_preview,onset_extra_preview
M04_0259_0001_2,38,38,0,0,0,1,33,5,5,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579,37,1,1,1,1,0,4,1,0,0,0.9736842105263158,0.9736842105263158,0.9736842105263158,23.964216216216055,1.0,0.0,0.8918918918918919,24.665909090908926,31.43612121212088,27.1376060606065,0.0,12,-74.55200000000062,0.9556103575832305,0.9759326113116726,0.18340611353711792,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0259_0001_2.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0259_0001_2.mid,G4 A#4 G#4 G#4 G#4,G3 G#3 A#3 G#3 G#3,G#4,G#3
M04_0260_0001_1_D,42,42,0,0,0,1,25,17,17,0.5952380952380952,0.5952380952380952,0.5952380952380952,0.5952380952380952,37,5,5,5,5,10,2,1,0,0,0.8809523809523809,0.8809523809523809,0.8809523809523809,22.79936486486492,0.7297297297297297,0.2972972972972973,0.8918918918918919,23.722500000000064,30.662019999999703,38.48851999999965,0.0,12,-141.24850000000055,0.6295811518324608,0.9695431472081218,0.452914798206278,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0260_0001_1_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0260_0001_1_D.mid,E4 D4 C4 C4 B3 G3 E3 G3,E3 C#3 B2 B2 F#2 F#2 G2 A2,E4 D4 B3 E3 A3,E3 C#3 A2 E3 F#3
M04_0261_0001_1_D,22,30,0,0,0,1,11,11,19,0.36666666666666664,0.5,0.423076923076923,0.5,22,0,8,0,8,13,1,0,4,0,0.7333333333333333,1.0,0.846153846153846,28.038999999999614,0.4090909090909091,0.8636363636363636,0.7272727272727273,38.61681818181806,43.57681818181733,62.224181818181336,0.0,12,-132.95199999999952,0.5866050808314087,0.9752252252252253,0.03333333333333333,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0261_0001_1_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0261_0001_1_D.mid,A3 E4 D4 D4 C4 D4 E4 C4,G2 A2 A#2 D#3 C#3 D3 D#3 D3,,A2 A#2 D#3 D3 G3 A2 E3 G3
M04_0264_0001_1,24,22,0,0,0,1,18,6,4,0.8181818181818182,0.75,0.7826086956521738,0.75,22,2,0,2,0,2,2,2,0,0,1.0,0.9166666666666666,0.9565217391304348,12.850431818181784,0.9090909090909091,0.09090909090909091,0.9090909090909091,12.122861111111071,28.819833333333133,32.211194444444324,0.0,12,-109.43449999999987,0.8896103896103896,0.9808917197452229,0.15384615384615385,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0264_0001_1.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0264_0001_1.mid,A4 A4 B4 D4 B4 B4,A#3 A3 C#3 B3,B4 B4,
M04_0265_0001_1_D,29,32,0,0,0,1,17,12,15,0.53125,0.5862068965517241,0.5573770491803278,0.5862068965517241,28,1,4,1,4,8,3,0,2,0,0.875,0.9655172413793104,0.9180327868852458,23.65280357142863,0.7142857142857143,0.5,0.7857142857142857,23.00099999999993,18.980852941176202,21.100088235294177,0.0,12,-113.42449999999982,0.8294036061026352,0.9424836601307189,0.3068181818181818,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0265_0001_1_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0265_0001_1_D.mid,G#4 A#3 G4 A#4 G#4 D#4 C4 C4,G3 C3 A#2 G3 A3 G3 D3 C3,C4,A#2 C#3 A#3 D3
M04_0266_0001_2,18,26,0,0,0,1,5,13,21,0.19230769230769232,0.2777777777777778,0.2272727272727273,0.2777777777777778,16,2,10,2,10,11,0,0,2,0,0.6153846153846154,0.8888888888888888,0.7272727272727274,46.24706250000013,0.3125,1.25,0.5,33.105700000000304,56.95290000000046,38.249000000000066,0.0,13,-95.8914999999998,0.26666666666666666,0.8203125,0.1686746987951807,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0266_0001_2.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0266_0001_2.mid,D5 A4 D5 D5 A4 A4 E4 E4,C4 C#4 F#3 G#3 B3 C#4 D4 B3,D5 A4,C4 F#3 B3 C#4 B3 A3 B2 F#3
M04_0266_0002_2_D,25,27,0,0,0,1,22,3,5,0.8148148148148148,0.88,0.8461538461538461,0.88,25,0,2,0,2,2,2,0,1,0,0.9259259259259259,1.0,0.9615384615384615,17.898360000000004,0.92,0.16,0.88,18.416249999999916,25.251136363636228,22.520522727272763,0.0,12,-105.81649999999954,0.9045454545454545,0.9072164948453608,0.0,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0266_0002_2_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0266_0002_2_D.mid,C4 D4 A3,B2 F#3 B2 D3 A2,,D3 F#3
M04_0268_0002_2,28,29,0,0,0,1,21,7,8,0.7241379310344828,0.75,0.736842105263158,0.75,26,2,3,2,3,5,0,0,0,0,0.896551724137931,0.9285714285714286,0.912280701754386,15.188423076923167,0.8076923076923077,0.5384615384615384,0.8846153846153846,15.430047619047734,32.579476190476335,37.61133333333321,0.0,12,-134.27999999999952,0.7713097713097713,0.9658634538152611,0.21428571428571427,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0268_0002_2.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0268_0002_2.mid,C4 F4 G4 C4 G4 F4 A4,C3 F3 G3 B2 B3 G3 E3 G3,C4 G4,C3 F3 G3
M04_0271_0004_1,24,26,0,0,0,1,9,15,17,0.34615384615384615,0.375,0.35999999999999993,0.375,15,9,11,9,11,5,1,0,0,0,0.5769230769230769,0.625,0.6,36.884533333333174,0.6666666666666666,0.6666666666666666,0.7333333333333333,28.86033333333302,52.734555555555616,39.481111111111126,0.0,12,-114.70799999999981,0.6912065439672802,0.9476744186046512,0.02564102564102564,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0271_0004_1.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0271_0004_1.mid,E4 G4 G4 C4 D4 C4 C4 A4,D3 G3 G3 B2 C#3 D3 B2 C#3,E4 G4 C4 A4 G4 D4 E4 A3,D3 G3 C#3 D3 G#3 A3 G3 D3
M04_0273_0001_2,18,22,0,0,0,1,11,7,11,0.5,0.6111111111111112,0.55,0.6111111111111112,16,2,6,2,6,4,1,0,2,0,0.7272727272727273,0.8888888888888888,0.7999999999999999,22.526656249999945,0.75,0.4375,0.8125,24.73163636363639,35.27240909090934,26.99449999999983,0.0,12,-169.5314999999997,0.7579365079365079,0.9563567362428842,0.25,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0273_0001_2.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0273_0001_2.mid,F4 E5 G#4 C#5 B4 D#5 F#4,E3 D#4 B3 A3 G#3 C#4 B3 D4,F4 B4,E3 A3 G#3 B3 F3 F#3
M04_0278_0002_1_D,23,23,0,0,0,1,12,11,11,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5217391304347826,18,5,5,5,5,6,1,0,0,0,0.782608695652174,0.782608695652174,0.782608695652174,63.39758333333345,0.6666666666666666,0.4444444444444444,0.8888888888888888,67.12654166666685,76.1504166666665,89.88287499999998,0.0,12,-120.96949999999973,0.630071599045346,0.8639175257731959,0.0,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0278_0002_1_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0278_0002_1_D.mid,G4 A#3 A3 F3 C4 G3 C4 D4,F#3 D3 A2 B2 F#2 C3 F#2 G2,F3 C4 G3 F3 F3,C3 F#2 C3 F#2 G2
M04_0279_0001_2,23,22,0,0,0,1,9,14,13,0.4090909090909091,0.391304347826087,0.4,0.391304347826087,17,6,5,6,5,5,3,0,0,0,0.7727272727272727,0.7391304347826086,0.7555555555555555,33.270764705882314,0.7058823529411765,0.7058823529411765,0.7647058823529411,33.18366666666664,40.38488888888884,72.14344444444431,0.0,24,-157.35399999999998,0.7006960556844548,0.9209401709401709,0.2786885245901639,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0279_0001_2.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0279_0001_2.mid,E5 C5 E5 C5 D5 G5 G5 C5,E3 B2 E3 G2 B2 G3 B2 C#3,E5 G5 C5 C5 C5 E5,E3 B2 B2 A2 E3
M04_0280_0001_2,22,21,0,0,0,1,11,11,10,0.5238095238095238,0.5,0.5116279069767442,0.5,18,4,3,4,3,1,6,1,2,0,0.8571428571428571,0.8181818181818182,0.8372093023255814,35.472250000000166,0.9444444444444444,0.2222222222222222,0.6111111111111112,34.23254545454562,41.266500000000015,37.76540909090922,0.0,12,-121.4905,0.9424860853432282,0.9074074074074074,0.043478260869565216,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0280_0001_2.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0280_0001_2.mid,C5 C5 C5 C5 G4 C5 C5 C5,C4 C4 G3 C4 E4 C4 A3 A3,C5 C5 C5 A4,C4 A3 E4
M04_0283_0002_1_D,35,33,0,0,0,1,16,19,17,0.48484848484848486,0.45714285714285713,0.4705882352941177,0.45714285714285713,28,7,5,7,5,8,4,1,0,0,0.8484848484848485,0.8,0.823529411764706,35.868142857142885,0.7142857142857143,0.35714285714285715,0.8571428571428571,37.78543749999999,52.72787500000019,57.68368750000012,0.0,12,-213.61100000000022,0.6818851251840943,0.9175675675675675,0.1518987341772152,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0283_0002_1_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0283_0002_1_D.mid,E3 G3 C4 G4 E4 F#4 D4 A3,G2 F#2 B2 F#3 E3 F#3 E3 D3,D4 A3 E4 D4 D4 C4 E4,E3 D3 F#3 C3 E3
