key,ref_notes,pred_notes,pitch_model_corrections,split_model_corrections,offset_model_corrections,cache_hit,matches,missed,extra,precision,recall,f1,note_accuracy,onset_matches,onset_missed,onset_extra,missed_onset,extra_onset,wrong_pitch,bad_offset,merged_notes,false_split,octave_error,onset_precision,onset_recall,onset_f1,onset_only_mae_ms,onset_pitch_acc,onset_pitch_mae_st,onset_offset_acc,onset_mae_ms,offset_mae_ms,duration_mae_ms,pitch_mae_st,global_shift_st,time_shift_ms,frame_pitch_acc,frame_voice_recall,frame_false_alarm,wav,midi,missed_preview,extra_preview,onset_missed_preview,onset_extra_preview
M04_0451_0002_1_D,26,28,0,0,0,1,11,15,17,0.39285714285714285,0.4230769230769231,0.4074074074074074,0.4230769230769231,23,3,5,3,5,13,0,0,1,0,0.8214285714285714,0.8846153846153846,0.8518518518518519,30.71926086956518,0.43478260869565216,0.6086956521739131,0.8695652173913043,47.755181818181676,47.44772727272759,80.83418181818173,0.0,12,-115.64900000000034,0.5069582504970179,0.9882121807465619,1.0,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0451_0002_1_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0451_0002_1_D.mid,A#3 C#4 C#4 F4 F4 F4 C4 F4,C3 A2 C#3 E3 F3 F#3 E3 E3,C#4 C#4 F#4,C#3 C#3 F3 F#3 C#3
M04_0457_0002_1_D,24,26,0,0,0,1,12,12,14,0.46153846153846156,0.5,0.48000000000000004,0.5,19,5,7,5,7,6,1,0,1,0,0.7307692307692307,0.7916666666666666,0.76,41.254315789473715,0.6842105263157895,0.3684210526315789,0.7894736842105263,40.450416666666676,34.34108333333345,36.86933333333323,0.0,12,-162.744,0.7456140350877193,0.8689024390243902,0.0,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0457_0002_1_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0457_0002_1_D.mid,G4 E4 D4 C4 E4 E4 G3 E3,F#3 E3 E3 D3 B2 F#3 E3 F#2,D4 E4 E3 A3 C4,E3 D3 E3 G#2 A2 C3 A2
M04_0458_0002_1,20,19,0,0,0,1,10,10,9,0.5263157894736842,0.5,0.5128205128205129,0.5,18,2,1,2,1,5,3,0,0,0,0.9473684210526315,0.9,0.9230769230769231,35.60822222222232,0.7222222222222222,0.4444444444444444,0.7222222222222222,21.321300000000143,38.243299999999905,52.55730000000001,0.0,12,-114.96550000000028,0.7556818181818182,0.9287598944591029,0.2631578947368421,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0458_0002_1.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0458_0002_1.mid,G3 A3 C4 G4 E4 G4 G4 G4,A2 B2 F#3 E3 F#3 G3 G3 E3,A3 G4,E3
M04_0460_0002_2_D,28,29,0,0,0,1,21,7,8,0.7241379310344828,0.75,0.736842105263158,0.75,25,3,4,3,4,2,2,0,1,0,0.8620689655172413,0.8928571428571429,0.8771929824561403,22.626080000000123,0.92,0.08,0.88,21.202857142857212,22.70666666666668,19.161999999999964,0.0,12,-133.0859999999996,0.8822463768115942,0.8961038961038961,0.5,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0460_0002_2_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0460_0002_2_D.mid,C4 F4 C4 G4 C4 C4 A4,C3 F3 B2 F#3 G3 C3 A3 G#3,C4 C4 C4,C3 G3 C3 G#3
M04_0463_0002_1_D,34,34,0,0,0,1,10,24,24,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,23,11,11,11,11,12,2,1,1,0,0.6764705882352942,0.6764705882352942,0.6764705882352942,55.3055217391304,0.4782608695652174,0.8260869565217391,0.5652173913043478,51.76789999999971,58.761299999999686,74.70319999999997,0.0,12,-162.37199999999973,0.47468354430379744,0.9561270801815431,0.2,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0463_0002_1_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0463_0002_1_D.mid,A#3 C4 C4 A#3 G#3 C4 C4 A#3,A2 B2 C3 A2 G2 B2 A2 G2,G#3 C4 A#3 A#3 G3 G#4 F4 G#4,C#3 A2 E3 G3 D#3 E3 F#3 C#3
M04_0466_0002_2_D,20,21,0,0,0,1,7,13,14,0.3333333333333333,0.35,0.3414634146341463,0.35,17,3,4,3,4,7,3,0,0,0,0.8095238095238095,0.85,0.8292682926829269,36.093676470588065,0.5882352941176471,0.5882352941176471,0.8235294117647058,45.638785714285476,35.19607142857132,30.916857142857015,0.0,12,-116.5865000000006,0.5437352245862884,0.8326771653543307,0.0,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0466_0002_2_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0466_0002_2_D.mid,E3 A3 B3 C#4 E4 C#4 C#4 A3,F2 G#2 C3 C#3 C#3 F3 C3 C#3,E3 B3 E4,G#2 C3 C#3 F3
M04_0469_0002_2_D,24,23,0,0,0,1,14,10,9,0.6086956521739131,0.5833333333333334,0.5957446808510638,0.5833333333333334,23,1,0,1,0,7,2,1,0,0,1.0,0.9583333333333334,0.9787234042553191,27.125652173913025,0.6956521739130435,0.4782608695652174,0.9130434782608695,21.863857142857064,22.035499999999956,32.84278571428537,0.0,12,-157.05500000000006,0.7315270935960592,0.9689737470167065,1.0,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0469_0002_2_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0469_0002_2_D.mid,F4 G4 F4 F4 F4 C4 E3 B3,F#3 F#3 E3 E3 F#3 B2 A2 B2,B3,
M04_0471_0001_1,26,23,0,0,0,1,14,12,9,0.6086956521739131,0.5384615384615384,0.5714285714285715,0.5384615384615384,23,3,0,3,0,5,5,2,0,0,1.0,0.8846153846153846,0.9387755102040816,34.851391304347665,0.782608695652174,0.43478260869565216,0.782608695652174,35.04771428571429,38.78614285714242,33.25585714285696,0.0,12,-148.09300000000025,0.8418491484184915,0.9256756756756757,0.48484848484848486,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0471_0001_1.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0471_0001_1.mid,A4 A4 A4 C5 A4 D5 D5 C5,A3 B3 A3 D4 B3 A3 F4 C4,A4 A4 D5,
M04_0472_0001_2_D,25,24,0,0,0,1,16,9,8,0.6666666666666666,0.64,0.6530612244897959,0.64,22,3,2,3,2,5,3,0,2,0,0.9166666666666666,0.88,0.8979591836734694,28.088227272727273,0.7727272727272727,0.5909090909090909,0.7727272727272727,37.83074999999994,33.517312500000074,36.80168750000003,0.0,12,-143.19099999999986,0.8661567877629063,0.8924914675767918,0.0,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0472_0001_2_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0472_0001_2_D.mid,A3 D4 D4 G3 A#3 A#3 A3 A#3,C3 C#3 D3 A2 A#2 A#2 G#2 A#2,F4 A#3 A#3,C#3 A#2
M04_0473_0002_2,25,24,0,0,0,1,15,10,9,0.625,0.6,0.6122448979591836,0.6,20,5,4,5,4,3,2,1,0,0,0.8333333333333334,0.8,0.816326530612245,38.12629999999993,0.85,0.55,0.85,32.97066666666663,48.22286666666644,34.40193333333312,0.0,12,-152.71900000000028,0.8151447661469933,0.8891089108910891,0.4791666666666667,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0473_0002_2.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0473_0002_2.mid,G4 G4 D#4 D#4 C4 G#4 C5 C5,G3 D#3 G3 G#3 C4 A#3 B3 F3,G4 G4 D#4 C5 C4,G3 C4 B3 C3
